long,lat,group,order,region,subregion
-73.74539185,40.91491699,35,9297,new york,main
-73.7625885,40.89772797,35,9298,new york,main
-73.8084259,40.88626862,35,9299,new york,main
-73.8256073,40.86907959,35,9300,new york,main
-73.81988525,40.85762024,35,9301,new york,main
-73.81988525,40.82324219,35,9302,new york,main
-73.81415558,40.81178284,35,9303,new york,main
-73.90582275,40.84616089,35,9304,new york,main
-73.90582275,40.81178284,35,9305,new york,main
-73.89437103,40.80605316,35,9306,new york,main
-73.9172821,40.90345764,35,9307,new york,main
-73.91155243,40.90918732,35,9308,new york,main
-73.90010071,40.99512863,35,9309,new york,main
-74.19229889,41.12691116,35,9310,new york,main
-74.23813629,41.14410019,35,9311,new york,main
-74.3756485,41.20139313,35,9312,new york,main
-74.72515869,41.36755371,35,9313,new york,main
-74.73661041,41.39047241,35,9314,new york,main
-74.75380707,41.41339111,35,9315,new york,main
-74.76526642,41.43058014,35,9316,new york,main
-74.82828522,41.43058014,35,9317,new york,main
-74.85693359,41.43058014,35,9318,new york,main
-74.89704132,41.45349884,35,9319,new york,main
-74.93714905,41.47068405,35,9320,new york,main
-74.97725677,41.4821434,35,9321,new york,main
-75.00017548,41.49933624,35,9322,new york,main
-75.01163483,41.52225113,35,9323,new york,main
-75.0402832,41.57381821,35,9324,new york,main
-75.0632019,41.59673691,35,9325,new york,main
-75.06893158,41.60819244,35,9326,new york,main
-75.0632019,41.7113266,35,9327,new york,main
-75.05174255,41.73997498,35,9328,new york,main
-75.07466125,41.757164,35,9329,new york,main
-75.11476898,41.7800827,35,9330,new york,main
-75.11476898,41.81446075,35,9331,new york,main
-75.12622833,41.83164597,35,9332,new york,main
-75.15487671,41.84883881,35,9333,new york,main
-75.17779541,41.85456467,35,9334,new york,main
-75.22935486,41.86029816,35,9335,new york,main
-75.24655151,41.86602783,35,9336,new york,main
-75.26946259,41.88321686,35,9337,new york,main
-75.28665161,41.9405098,35,9338,new york,main
-75.31529999,41.9634285,35,9339,new york,main
-75.35540771,42.00353622,35,9340,new york,main
-75.40124512,42.00353622,35,9341,new york,main
-75.4757309,42.00353622,35,9342,new york,main
-76.10598755,42.00353622,35,9343,new york,main
-76.14608765,42.00353622,35,9344,new york,main
-76.56435394,42.00353622,35,9345,new york,main
-76.93677521,41.99780655,35,9346,new york,main
-76.97115326,41.99780655,35,9347,new york,main
-77.61286163,42.00353622,35,9348,new york,main
-77.76183319,42.00353622,35,9349,new york,main
-78.20874023,41.99780655,35,9350,new york,main
-78.31186676,42.00353622,35,9351,new york,main
-78.92494202,42.00353622,35,9352,new york,main
-79.06244659,42.00353622,35,9353,new york,main
-79.61821747,42.00353622,35,9354,new york,main
-79.75572205,42.00353622,35,9355,new york,main
-79.7671814,42.2613678,35,9356,new york,main
-74.27824402,40.48519897,36,9358,new york,staten island
-74.20376587,40.62843704,36,9359,new york,staten island
-74.09490204,40.66281509,36,9360,new york,staten island
-74.06052399,40.61124802,36,9361,new york,staten island
-74.08344269,40.58832932,36,9362,new york,staten island
-74.12928009,40.55395126,36,9363,new york,staten island
-74.16365814,40.53103638,36,9364,new york,staten island
-74.18657684,40.50811768,36,9365,new york,staten island
-74.23241425,40.49092865,36,9366,new york,staten island
-74.27824402,40.48519897,36,9367,new york,staten island
-74.29544067,40.50811768,36,9368,new york,staten island
-74.28970337,40.51957321,36,9369,new york,staten island
-74.26106262,40.53103638,36,9370,new york,staten island
-74.24386597,40.55395126,36,9371,new york,staten island
-74.23241425,40.58259964,36,9372,new york,staten island
-74.2209549,40.61124802,36,9373,new york,staten island
-74.20376587,40.62270737,36,9374,new york,staten island
-74.18084717,40.65135574,36,9375,new york,staten island
-74.16938782,40.65135574,36,9376,new york,staten island
-74.14646912,40.65708542,36,9377,new york,staten island
-74.27824402,40.48519897,36,9378,new york,staten island
